"standard_id","area_id","tier_pct","household_size_min","household_size_max","amount","effective_date","expires_date","variant","source_url","notes"
"USDA-502-GUARANTEED","OR-CLACKAMAS","50","1","4","64150","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","50","5","8","84700","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","80","1","4","102650","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","80","5","8","135500","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","115","1","4","147550","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-CLACKAMAS","115","5","8","194800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Portland-Vancouver-Hillsboro, OR-WA MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-MARION","50","1","4","50900","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Salem, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-MARION","50","5","8","67200","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Salem, OR MSA (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-MARION","80","1","4","81450","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Salem, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-MARION","80","5","8","107550","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Salem, OR MSA (LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-MARION","115","1","4","122800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Salem, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-MARION","115","5","8","162100","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Salem, OR MSA (MOD.INC-GUAR.LOAN), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-COOS","50","1","4","41800","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Coos County, OR (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
"USDA-502-GUARANTEED","OR-COOS","50","5","8","55200","2026-07-13","","guaranteed","https://www.rd.usda.gov/resources/directives/handbooks","FY2026 USDA guaranteed, Coos County, OR (VERY LOW INCOME), HB-1-3555 Appendix 5 PN 657"
