"standard_id","area_id","tier_pct","household_size_min","household_size_max","amount","effective_date","expires_date","variant","source_url","notes"
"MN-SMI","MN","100","3","3","124268","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","4","4","73969","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Published MN FFY2027 50% SMI"
"MN-SMI","MN","100","4","4","147938","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","5","5","85804","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Published MN FFY2027 50% SMI"
"MN-SMI","MN","100","5","5","171608","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","6","6","97639","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Published MN FFY2027 50% SMI"
"MN-SMI","MN","100","6","6","195278","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","7","7","99858","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Published MN FFY2027 50% SMI"
"MN-SMI","MN","100","7","7","199716","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","8","8","102077","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Published MN FFY2027 50% SMI"
"MN-SMI","MN","100","8","8","204154","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","9","9","104296","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Derived: 141% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","9","9","208592","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","10","10","106515","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Derived: 144% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","10","10","213030","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","11","11","108734","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Derived: 147% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","11","11","217468","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
"MN-SMI","MN","50","12","12","110954","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Derived: 150% of the 4-person figure per the HHS family-size formula"
"MN-SMI","MN","100","12","12","221908","2026-10-01","2027-09-30","","https://mn.gov/commerce/energy/consumer-assistance/energy-assistance/","Full state median income, derived as the 50% figure divided by 0.5"
